movie,year,gap,movieimg,movieimg-hold
The Green Years,1946,2,placeholder.gif,greenyears
Hamlet,1948,-11,placeholder.gif,hamlet
North by Northwest,1959,7,northbynorthwest.gif,northbynorthwest
The Entertainer,1960,0,placeholder.gif,entertainer
Blue Hawaii,1961,10,placeholder.gif,bluehawaii
The Manchurian Candidate,1962,3,placeholder.gif,manchuriancandidate
Bye Bye Birde,1963,0,placeholder.gif,byebyebirdie
Munsters,1964,-1,placeholder.gif,munsters
Cool Hand Luke,1967,10,placeholder.gif,coolhandluke
The Graduate,1967,9,graduate.gif,graduate2
The Partridge Family,1970,16,placeholder.gif,partridgefamily
Tommy,1975,0,placeholder.gif,tommy
Tommy,1975,3,placeholder.gif,tommy2
Carrie,1976,17,placeholder.gif,carrie
Mama's Family,1983,-16,placeholder.gif,mamasfamily
The Cosby Show,1984,10,placeholder.gif,cosbyshow
Back to the Future,1985,-3,placeholder.gif,backtothefuture
Golden Girls,1985,-1,placeholder.gif,goldengirls
Ellen Burstyn Show,1986,7,placeholder.gif,ellenburstynshow
Peggy Sue Got Married,1986,-1,placeholder.gif,peggysuegotmaried
Dirty Dancing,1987,16,placeholder.gif,dirtydancing
Indiana Jones and the Last Crusade,1989,12,indianjones.gif,indianajones
Beverly Hills 90210,1990,14,placeholder.gif,beverlyhills
Fresh Prince of Bel Air,1990,10,placeholder.gif,freshprince
Boyz n the Hood,1991,7,placeholder.gif,boyznthehood
Frasier,1993,15,placeholder.gif,frasier
X-Files,1993,1,placeholder.gif,xfiles
Forest Gump,1994,10,placeholder.gif,forestgump
American Pie,1999,13,placeholder.gif,americanpie
Gilmore Girls,2000,14,placeholder.gif,gilmoregirls
Riding in Cars with Boys,2001,2,placeholder.gif,ridingincars
Six Feet Under,2001,12,placeholder.gif,sixfeetunder
Spykids,2001,17,placeholder.gif,spykids
Arrested Development,2003,16,placeholder.gif,arresteddevelopment
One Tree Hill,2003,13,placeholder.gif,onetreehill
Alexander,2004,-1,placeholder.gif,alexander
Joey,2004,5,placeholder.gif,joey
Mean Girls,2004,7,meangirls.gif,meangirls
Brokeback Mountain,2005,4,placeholder.gif,brokebackmountain
Little Miss Sunshine,2006,12,placeholder.gif,littlemisssunshine
Gossip Girl,2007,17,placeholder.gif,gossipgirl
Step Brothers,2008,14,placeholder.gif,stepbrothers
Terminator: The Sarah Connor Chronicles,2008,14,placeholder.gif,terminator
I Love You Man,2009,14,placeholder.gif,iloveyouman
Star Trek,2009,6,placeholder.gif,startrek
Blue Bloods,2010,6,placeholder.gif,bluebloods
Boardwalk Empire,2010,8,placeholder.gif,boardwalkempire
Pretty Little Liars,2010,15,placeholder.gif,prettylittleliars
Pretty Little Liars,2010,17,placeholder.gif,prettylittleliars2
The Fighter,2010,11,placeholder.gif,fighter
In Time,2011,-3,placeholder.gif,intime
Tammy,2014,11,placeholder.gif,tammy
Tammy,2014,13,placeholder.gif,tammy2
Wild,2014,9,placeholder.gif,wild
Black-ish,2015,9,placeholder.gif,blackish